%"Dk
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk]
%Num. Points : [38]
%Matrix Size : scalar
%Type : Real","freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
1.005,5.500 GHz,0.047 / -26.568 ,0.987 / -120.757 ,0.987 / -120.757 ,0.047 / -26.568 
1.006,4.500 GHz,0.021 / -2.640 ,0.992 / -98.619 ,0.992 / -98.619 ,0.021 / -2.640 
1.006,5.000 GHz,0.034 / -14.902 ,0.990 / -109.679 ,0.990 / -109.679 ,0.034 / -14.903 
1.006,5.500 GHz,0.047 / -26.573 ,0.987 / -120.762 ,0.987 / -120.762 ,0.047 / -26.573 
1.007,4.500 GHz,0.021 / -2.635 ,0.992 / -98.624 ,0.992 / -98.624 ,0.021 / -2.635 
1.007,5.000 GHz,0.033 / -14.904 ,0.990 / -109.684 ,0.990 / -109.684 ,0.033 / -14.904 
1.007,5.500 GHz,0.047 / -26.578 ,0.987 / -120.768 ,0.987 / -120.768 ,0.047 / -26.578 
1.008,4.500 GHz,0.021 / -2.629 ,0.992 / -98.629 ,0.992 / -98.629 ,0.021 / -2.630 
1.008,5.000 GHz,0.033 / -14.905 ,0.990 / -109.689 ,0.990 / -109.689 ,0.033 / -14.906 
1.008,5.500 GHz,0.047 / -26.582 ,0.987 / -120.774 ,0.987 / -120.774 ,0.047 / -26.582 
1.009,4.500 GHz,0.021 / -2.624 ,0.992 / -98.634 ,0.992 / -98.634 ,0.021 / -2.624 
1.009,5.000 GHz,0.033 / -14.907 ,0.990 / -109.694 ,0.990 / -109.694 ,0.033 / -14.907 
1.009,5.500 GHz,0.047 / -26.587 ,0.987 / -120.780 ,0.987 / -120.780 ,0.047 / -26.587 
1.010,4.500 GHz,0.021 / -2.618 ,0.992 / -98.638 ,0.992 / -98.638 ,0.021 / -2.619 
1.010,5.000 GHz,0.033 / -14.908 ,0.990 / -109.700 ,0.990 / -109.700 ,0.033 / -14.908 
1.010,5.500 GHz,0.047 / -26.591 ,0.987 / -120.785 ,0.987 / -120.785 ,0.047 / -26.592 
1.019,4.500 GHz,0.021 / -2.562 ,0.992 / -98.687 ,0.992 / -98.687 ,0.021 / -2.562 
1.019,5.000 GHz,0.033 / -14.923 ,0.990 / -109.754 ,0.990 / -109.754 ,0.033 / -14.923 
1.019,5.500 GHz,0.047 / -26.640 ,0.987 / -120.844 ,0.987 / -120.844 ,0.047 / -26.640 
1.028,4.500 GHz,0.020 / -2.502 ,0.992 / -98.736 ,0.992 / -98.736 ,0.020 / -2.503 
1.028,5.000 GHz,0.033 / -14.938 ,0.990 / -109.808 ,0.990 / -109.808 ,0.033 / -14.938 
1.028,5.500 GHz,0.047 / -26.688 ,0.987 / -120.903 ,0.987 / -120.903 ,0.047 / -26.689 
1.038,4.500 GHz,0.020 / -2.439 ,0.992 / -98.785 ,0.992 / -98.785 ,0.020 / -2.439 
1.038,5.000 GHz,0.033 / -14.952 ,0.990 / -109.861 ,0.990 / -109.861 ,0.033 / -14.952 
1.038,5.500 GHz,0.046 / -26.738 ,0.987 / -120.962 ,0.987 / -120.962 ,0.046 / -26.738 
1.047,4.500 GHz,0.020 / -2.373 ,0.992 / -98.834 ,0.992 / -98.834 ,0.020 / -2.373 
1.047,5.000 GHz,0.032 / -14.966 ,0.990 / -109.915 ,0.990 / -109.915 ,0.032 / -14.966 
1.047,5.500 GHz,0.046 / -26.787 ,0.987 / -121.021 ,0.987 / -121.021 ,0.046 / -26.787 
1.056,4.500 GHz,0.019 / -2.303 ,0.992 / -98.882 ,0.992 / -98.882 ,0.019 / -2.303 
1.056,5.000 GHz,0.032 / -14.980 ,0.990 / -109.969 ,0.990 / -109.969 ,0.032 / -14.980 
1.056,5.500 GHz,0.046 / -26.837 ,0.987 / -121.079 ,0.987 / -121.079 ,0.046 / -26.837 
1.066,4.500 GHz,0.019 / -2.230 ,0.992 / -98.931 ,0.992 / -98.931 ,0.019 / -2.230 
1.066,5.000 GHz,0.032 / -14.994 ,0.990 / -110.023 ,0.990 / -110.023 ,0.032 / -14.994 
1.066,5.500 GHz,0.046 / -26.887 ,0.987 / -121.138 ,0.987 / -121.138 ,0.046 / -26.887 
1.075,4.500 GHz,0.019 / -2.153 ,0.992 / -98.980 ,0.992 / -98.980 ,0.019 / -2.153 
1.075,5.000 GHz,0.031 / -15.007 ,0.990 / -110.076 ,0.990 / -110.076 ,0.031 / -15.007 
1.075,5.500 GHz,0.046 / -26.938 ,0.987 / -121.197 ,0.987 / -121.197 ,0.046 / -26.938 
1.084,4.500 GHz,0.018 / -2.071 ,0.992 / -99.028 ,0.992 / -99.028 ,0.018 / -2.072 
1.084,5.000 GHz,0.031 / -15.021 ,0.990 / -110.130 ,0.990 / -110.130 ,0.031 / -15.021 
1.084,5.500 GHz,0.046 / -26.989 ,0.987 / -121.255 ,0.987 / -121.255 ,0.046 / -26.990 
1.094,4.500 GHz,0.018 / -1.986 ,0.992 / -99.077 ,0.992 / -99.077 ,0.018 / -1.987 
1.094,5.000 GHz,0.031 / -15.034 ,0.990 / -110.183 ,0.990 / -110.183 ,0.031 / -15.034 
1.094,5.500 GHz,0.045 / -27.041 ,0.987 / -121.313 ,0.987 / -121.313 ,0.045 / -27.042 
