% Model,STRL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 18 2025, 12:30"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.568,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.5579999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.5479999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.5379999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.5279999999999999,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.518,0,0,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.508,0.31882711335723296,3476.6525966833865,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.49799999999999994,0.31842263159725126,3481.006572996686,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.48799999999999993,0.31809144082141527,3486.4138842714015,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.478,0.3178216318370419,3492.9677695771466,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.4679999999999999,0.31766685862653377,3501.102711681935,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.45799999999999996,0.31760555642537897,3510.6469644475005,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.44799999999999995,0.31759635566502453,3520.6771896745836,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.43799999999999994,0.3176833618463281,3532.550076168757,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.42799999999999994,0.31790687813815666,3546.80034135266,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.418,0.31828413421653307,3564.431876494329,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.4079999999999999,0.31874848469332406,3583.231352452812,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.39799999999999996,0.31938790756782903,3606.8403283126345,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.38799999999999996,0.32016552593019515,3633.726604774647,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.3779999999999999,0.3210127194025802,3661.5334977949524,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.36799999999999994,0.3220928906297362,3696.145684461728,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
5,-0.35799999999999993,0.32346241337685483,3741.100146723237,-3.5890285249711637E-7+1.5549316422728778E-7i,-7.295104059441517E-5-1.8613008244901916E-4i
