freq	S(1,1)
4.72800925906250136E9	2.52535614497297933E-1 / -7.66116062977712442E1
4.73090277759374978E9	2.56240870503830642E-1 / -7.76951713216934525E1
4.73379629612499997E9	2.59840953317791978E-1 / -7.87171339962451277E1
4.73668981465625016E9	2.63407511545491646E-1 / -7.96793684973595795E1
4.73958333318750036E9	2.67014679419243395E-1 / -8.05873453521205718E1
4.74247685171874966E9	2.70733778478470244E-1 / -8.14505374419177386E1
4.74537037024999897E9	2.74626220975148438E-1 / -8.22823853495242830E1
4.74826388878125094E9	2.78735408854914146E-1 / -8.30996332789415959E1
4.75115740731249936E9	2.83079002802845014E-1 / -8.39209736739823953E1
4.75405092584375044E9	2.87643227400816714E-1 / -8.47651317554564443E1
4.75694444437499975E9	2.92380675138926405E-1 / -8.56487128384609697E1
4.75983796290625083E9	2.97212364714325661E-1 / -8.65842417814718601E1
4.76273148143750014E9	3.02033825685360702E-1 / -8.75787966738357682E1
4.76562499996875122E9	3.06724061082750499E-1 / -8.86334982876524791E1
4.76851851850000052E9	3.11155612567905537E-1 / -8.97439361945247072E1
4.77141203703124983E9	3.15203609110397975E-1 / -9.09014598212224811E1
4.77430555556249914E9	3.18751475058357681E-1 / -9.20951463932432901E1
4.77719907409374933E9	3.21690953327757345E-1 / -9.33141251305836583E1
4.78009259262500041E9	3.23914782507059318E-1 / -9.45497484110911479E1
4.78298611115624972E9	3.25302505971719436E-1 / -9.57969407350406676E1
4.78587962968750080E9	3.25703459311349430E-1 / -9.70541624413852944E1
4.78877314821874922E9	3.24924159513500799E-1 / -9.83219913171017623E1
4.79166666675000119E9	3.22727263765298922E-1 / -9.96011772500263426E1
4.79456018528124961E9	3.18845016044406515E-1 / -1.00891595739748574E2
4.79745370381249980E9	3.13004439331579798E-1 / -1.02193362348799144E2
4.80034722234375000E9	3.04958685632032500E-1 / -1.03510631335982239E2
4.80324074087499930E9	2.94520430885099005E-1 / -1.04857872126129137E2
4.80613425940625039E9	2.81596753957057011E-1 / -1.06268079089946332E2
4.80902777793749969E9	2.66227144152900763E-1 / -1.07802306245623214E2
4.81192129646875166E9	2.48625074982114658E-1 / -1.09559715227448673E2
4.81481481500000008E9	2.29218831925882238E-1 / -1.11686536509387069E2
4.81610082325000111E9	2.28215196582290192E-1 / -1.11841983146808732E2
4.81738683149999947E9	2.27239160279618790E-1 / -1.11986401730448515E2
4.81867283975000049E9	2.26293205787169649E-1 / -1.12120348623402966E2
4.81995884800000063E9	2.25379555778535456E-1 / -1.12244427844019401E2
4.82638888899999952E9	2.21355349820288616E-1 / -1.12740271104770029E2
4.83281893000000018E9	2.18328726250495864E-1 / -1.13093906521688625E2
4.83924897099999995E9	2.16334278058169982E-1 / -1.13393271620803615E2
4.84567901200000062E9	2.15338195853710745E-1 / -1.13720145379123028E2
4.85210905324999953E9	2.15264379201477185E-1 / -1.14152023981967443E2
4.85853909450000021E9	2.15986804798288690E-1 / -1.14764316385553555E2
4.86496913575000001E9	2.17307014339248861E-1 / -1.15626404565218910E2
4.87139917699999891E9	2.18944857248096980E-1 / -1.16791819392006491E2
4.87809713656250032E9	2.20621138931364769E-1 / -1.18358413067146873E2
4.88479509612500085E9	2.21869500715882806E-1 / -1.20284312578049724E2
4.89149305568749959E9	2.22319650612411968E-1 / -1.22543134224415384E2
4.89819101524999923E9	2.21662441623592654E-1 / -1.25092495054573161E2
4.90488897481250063E9	2.19657036566419039E-1 / -1.27882140496784436E2
4.91158693437500027E9	2.16127191755280768E-1 / -1.30858264948554814E2
4.91828489393750079E9	2.10954854109436107E-1 / -1.33964358294153096E2
4.92498285349999954E9	2.04077000979998413E-1 / -1.37139386817132403E2
4.93168081306250006E9	1.95489513640600032E-1 / -1.40314953081817095E2
4.93837877262499880E9	1.85251636818143184E-1 / -1.43414756211120809E2
4.94507673218750021E9	1.73463701200098819E-1 / -1.46355421184582801E2
4.95177469174999985E9	1.60223411916548208E-1 / -1.49030304978873995E2
4.95847265131250037E9	1.45650288398388872E-1 / -1.51267337883660002E2
4.96517061087500089E9	1.29974122437250816E-1 / -1.52783948213277743E2
4.97186857043750052E9	1.13607042624510446E-1 / -1.53128681219706153E2
4.97856652999999927E9	9.72381852384062029E-2 / -1.51576300851276957E2
4.98392489749999967E9	8.49014442300333805E-2 / -1.48226840365297741E2
4.98928326500000008E9	7.42454425108764759E-2 / -1.42219585140060389E2
4.99464163250000048E9	6.66230305115456822E-2 / -1.33050172341914852E2
5.00000000000000000E9	6.35415550224801429E-2 / -1.21342030973228132E2
5.00173611110937433E9	6.36927390934673276E-2 / -1.17357213326156495E2
5.00347222221875043E9	6.44169963075049790E-2 / -1.13449013538265131E2
5.00520833332812565E9	6.56926792224148137E-2 / -1.09712437487564096E2
5.00694444443750086E9	6.74812579045545924E-2 / -1.06223850144483811E2
5.00868055554687608E9	6.97293768219747712E-2 / -1.03033482475519644E2
5.01041666665625041E9	7.23689380089250900E-2 / -1.00158920664303275E2
5.01215277776562473E9	7.53104350165690217E-2 / -9.75710165290441900E1
5.01388888887499995E9	7.84182624605790135E-2 / -9.51391760903086059E1
