% Model,MSL_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Apr 13 2025, 11:19"
% Table,Table 24 - Global Evaluation 1
% MS_W (mm),MUT_Er,freq (GHz),S11 (1),S21 (1)
0.7800000000000001,1.00117019964387,5,0.08961598076076153-0.03915082951675743i,-0.39909186178280265-0.9112536061353275i
0.7800000000000001,1.0012605642289,5,0.08961000413910405-0.039149268511501106i,-0.3991011383658659-0.911250197688787i
0.7800000000000001,1.00135093425582,5,0.08960402727235355-0.03914770730501068i,-0.399110415323317-0.9112467889082728i
0.7800000000000001,1.0014413097251,5,0.08959805018415708-0.03914614602104662i,-0.39911969276623643-0.9112433798807199i
0.7800000000000001,1.00234536385658,5,0.08953826591273781-0.039130522479332325i,-0.3992124905001254-0.9112092726205825i
0.7800000000000001,1.00324996276642,5,0.08947845782085259-0.03911488056540878i,-0.39930533062204915-0.9111751349528164i
0.7800000000000001,1.00415510694717,5,0.08941862578366759-0.0390992203375569i,-0.39939821328999886-0.911140966853678i
0.7800000000000001,1.00506079689202,5,0.0893587698926206-0.03908354168677654i,-0.39949113839367356-0.9111067683197888i
0.7800000000000001,1.00596703309471,5,0.08929889008037932-0.039067844654542244i,-0.39958410605649763-0.9110725392951501i
0.7800000000000001,1.00687381604959,5,0.08923898634951329-0.03905212921867261i,-0.39967711627847086-0.9110382797565182i
0.7800000000000001,1.00778114625163,5,0.08917905866207806-0.03903639525159298i,-0.3997701691277983-0.9110039896359245i
0.7800000000000001,1.00868902419636,5,0.08911910703937434-0.03902064285643726i,-0.39986326458519794-0.9109696689106134i
0.7800000000000001,1.00959745037993,5,0.08905913145656238-0.03900487201232248i,-0.39995640267932075-0.9109353176574423i
0.7800000000000001,1.01871197493415,5,0.08845805521873355-0.03884614173309904i,-0.40089013543393603-0.9105901133827272i
0.7800000000000001,1.02788187361308,5,0.08785457023777887-0.0386855395758118i,-0.4018281638835939-0.9102418112520411i
0.7800000000000001,1.03710765258186,5,0.08724866487151743-0.03852304484597381i,-0.40277051608760966-0.9098903782357356i
0.7800000000000001,1.04638982419353,5,0.08664032751216375-0.03835863632031754i,-0.4037172202192799-0.9095357808388818i
0.7800000000000001,1.05572890708386,5,0.08602954616221173-0.03819229269927737i,-0.4046683052192196-0.9091779850543045i
0.7800000000000001,1.06512542626792,5,0.08541630916395845-0.038023992342738296i,-0.4056237998503274-0.9088169564825417i
0.7800000000000001,1.0745799132385,5,0.08480060476309922-0.037853713252393936i,-0.4065837331933474-0.9084526603054291i
0.7800000000000001,1.08409290606633,5,0.0841824210570401-0.03768143325062912i,-0.40754813456463773-0.9080850612427588i
0.7800000000000001,1.09366494950212,5,0.0835617461675053-0.037507129799524266i,-0.4085170335759936-0.9077141235307172i
0.95,1.00053779988,5,-0.005348008362668288+0.0025620446907049284i,-0.41676759724194196-0.9085055796394089i
