%"freq
%References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [417]
%Matrix Size : scalar
4.514 GHz,0.188 / -70.362 ,0.446 / -7.108 ,0.446 / -7.108 ,0.142 / 156.706 
4.519 GHz,0.198 / -71.716 ,0.410 / -8.736 ,0.410 / -8.736 ,0.153 / 151.201 
4.523 GHz,0.209 / -73.397 ,0.374 / -9.867 ,0.374 / -9.867 ,0.162 / 145.789 
4.528 GHz,0.219 / -75.373 ,0.339 / -10.375 ,0.339 / -10.375 ,0.171 / 140.459 
4.532 GHz,0.228 / -77.627 ,0.304 / -10.092 ,0.304 / -10.092 ,0.179 / 135.202 
4.537 GHz,0.236 / -80.149 ,0.271 / -8.785 ,0.271 / -8.785 ,0.186 / 130.005 
4.542 GHz,0.243 / -82.926 ,0.240 / -6.153 ,0.240 / -6.153 ,0.192 / 124.854 
4.546 GHz,0.250 / -85.942 ,0.213 / -1.826 ,0.213 / -1.826 ,0.197 / 119.734 
4.551 GHz,0.254 / -89.167 ,0.191 / 4.542 ,0.191 / 4.542 ,0.201 / 114.629 
4.556 GHz,0.257 / -92.560 ,0.176 / 13.032 ,0.176 / 13.032 ,0.204 / 109.524 
4.561 GHz,0.258 / -96.960 ,0.169 / 25.697 ,0.169 / 25.697 ,0.208 / 103.121 
4.567 GHz,0.255 / -101.432 ,0.177 / 38.155 ,0.177 / 38.155 ,0.209 / 96.676 
4.573 GHz,0.250 / -105.858 ,0.199 / 47.959 ,0.199 / 47.959 ,0.210 / 90.173 
4.579 GHz,0.241 / -110.124 ,0.229 / 54.394 ,0.229 / 54.394 ,0.209 / 83.604 
4.584 GHz,0.229 / -114.124 ,0.266 / 57.959 ,0.266 / 57.959 ,0.207 / 76.964 
